Number,Date,Song,Artist,Platform,Release Date,,,,,
126,21/04/2022,Stick Stickly,Attack Attack!,Spotify,,,,,,
127,22/04/2022,Montion Sickness,Phoebe Bridgers,Spotify,,,,,,
128,23/04/2022,Situations,Escape the Fate,Spotify,,,,,,
129,24/04/2022,Lonely Island ,Knuckle Punk,Spotify,,,,,,
130,25/04/2022,Time To Bleed,Classless Act,Spotify,,,,,,
131,26/04/2022,Deadly Combination,Big L,Spotify,,,,,,
132,27/04/2022,Way to the Show,Solange,Spotify,,,,,,
133,28/04/2022,Sleepwalkin',Better Oblivion Community Center,Spotify,,,,,,
134,29/04/2022,Oldest Daughter,The Wonder Years,Spotify,,,,,,
135,30/04/2022,Underdogs,Cherryade,Spotify,,,,,,
136,01/05/2022,Can't Fight The Moonlight,LeAnn Rimes,Spotify,,,,,,
137,02/05/2022,NO COFFEE,"Harper Minta, Snagev",Spotify,,,,,,
138,03/05/2022,If You Can't Hang,Sleeping With Sirens,Spotify,,,,,,
139,04/05/2022,Lone Raver,Barry Can't Swim,Spotify,,,,,,
140,05/05/2022,Harsh Augmented Reality,Strawberry Mountain,Spotify,,,,,,
141,06/05/2022,Deciever,Ghum,Spotify,,,,,,
142,07/05/2022,Tlove,Quarters of Change,Spotify,,,,,,
143,08/05/2022,The Heart Part 5,Kendrick Lamar,Spotify,,,,,,
144,09/05/2022,OhNo!,Kevin Walkman,Spotify,,,,,,
145,10/05/2022,Piece of My Heart,Big Brother & The Holding Company,Spotify,,,,,,
146,11/05/2022,The Night ,Frankie Valli & The Four Seasons,Spotify,,,,,,
147,12/05/2022,mads mikkelsen,maxime.,Spotify,,,,,,
148,13/05/2022,Summer Wind,Frank Sinatra,Spotify,,,,,,
149,14/05/2022,Never Too Old,Monrroe,Spotify,,,,,,
150,15/05/2022,Make You Make Believe,My Kid Brother,Spotify,,,,,,
151,16/05/2022,Mother May I Sleep With Danger?,Joy Crookes,Spofity,,,,,,
152,17/05/2022,Serotonin,LUCA,Spotify,,,,,,
153,18/05/2022,Vehicle ,The Ides Of March,Spotify,,,,,,
154,19/05/2022,Dirty Work,Steely Dan ,Spofity,,,,,,
155,20/05/2022,Smile (Mista Trick & Fizzy Gillespie DnB Remix),Lily Allen,SoundCloud,,,,,,
156,21/05/2022,Highwayman,The Highwaymen,Spotify,,,,,,
157,22/05/2022,Overclock Extended,S.Charles,Youtube,,,,,,
158,23/05/2022,Ocean Avenue,Yellowcard,Spotify,,,,,,
159,24/05/2022,Everybody's Dead Indside,Alissic,Spotify,,,,,,
160,25/05/2022,Girls Are Out To Get You,Cicero Blake,Spotify,,,,,,
161,26/05/2022,Staring At The Sun ,Post Malone Ft. SZA,Spotify,,,,,,
162,27/05/2022,You Belong to The City,Glenn Frey,Spotify,,,,,,
163,28/05/2022,Serotonin,MJ Cole,Spotify,,,,,,
164,29/05/2022,bad idea!,girl in red,Spotify,,,,,,
165,30/05/2022,Miss Thang,Marc E. Bassy,Spotify,,,,,,
166,31/05/2022,Set You Free,Black Label Society,Spotify,,,,,,
167,01/06/2022,I'll Come Running Back (Mr Scruff Edit),Sandra Wright,Spotify,,,,,,
168,02/06/2022,Hit Me Where It Hurts,Caroline Polachek,Spotify,,,,,,
169,03/06/2022,thingsudo2me,ericdoa,Spotify,,,,,,
170,04/06/2022,Make Your Move,Hieroglyphics,Spotify,,,,,,
171,05/06/2022,Skinny Love - Spotify Singles,Japanese Breakfast,Spotify,,,,,,
172,06/06/2022,Danger Zone,Kenny Loggins,Spotify,,,,,,
173,07/06/2022,No One Dies From Love,Tove Lo,Spotify,,,,,,
174,08/06/2022,I'm a Moth,LIA LIA,Spotify,,,,,,
175,09/06/2022,I'm The One Who Loves You,Darrell Banks,Spotify,,,,,,
176,10/06/2022,Peer Pressure,Mickey Darling,Spotify,,,,,,
177,11/06/2022,I'm Alive,Johnny Thunder,Spotify,,,,,,
178,12/06/2022,This B State,Builder's Tead,Spotify,,,,,,
179,13/06/2022,The Loco-Motion,Kylie Minogue,Spotify,,,,,,
180,14/06/2022,Belong to You,Sabrina Claudio,Spotify,,,,,,
181,15/06/2022,Believe,Cher,Spotify,,,,,,
182,16/06/2022,Glamorous,Fergie,Spotify,,,,,,
183,17/06/2022,Milk Teeth,Seraphina Simone,Spotify,,,,,,
184,18/06/2022,Are You Satisfied?,MARINA,Spotify,,,,,,
185,19/06/2022,Drink Milk and Run,Hot Mulligan,Spotify,,,,,,
186,20/06/2022,Teenage Fantasy (2018 BRITs Choice Award),Jorja Smith,Youtube,,,,,,
187,21/06/2022,Mood (24k Goldn Cover),Bring Me The Horizon,Youtube,,,,,,
188,22/06/2022,Super Freak ,Rick James,Spotify,,,,,,
189,23/06/2022,Back In the Saddle,Aerosmith,Spotify,,,,,,
190,24/06/2022,Left and Right (Music Video),Charlie Puth Ft. Jungkook,Youtube,,,,,,
191,25/06/2022,Shane Dawson,Mickey Darling,Spotify,,,,,,
192,26/06/2022,Bull in The Heather,Sonic Youth,Spotify,,,,,,
193,27/06/2022,Zero,Dead Pony,Spotify,,,,,,
194,28/06/2022,Baby Boy,Hot Freaks,Spotify,,,,,,
195,29/06/2022,THE FLOOR IS LAVA!!,LOLO,Spotify,,,,,,
196,30/06/2022,The People,Photay,Spotify,,,,,,
197,01/07/2022,No Perfect Time,Marc E. Bassy,Spotify,,,,,,
198,02/07/2022,The Resistance,Anberlin,Spotify,,,,,,
199,03/07/2022,Speak Up,VEMM,Spotify,,,,,,
200,04/07/2022,Touch,Quinton Brock,Spotify,,,,,,
201,05/07/2022,Sweetest Somebody I Know,Nelson Rangell,Spotify,,,,,,
202,06/07/2022,Alarm Clock,The Rumble Strips,Spotify,,,,,,
203,07/07/2022,Dad Vibes,Limp Bizkit,Spotify,,,,,,
204,08/07/2022,Seeing Double at the Triple Rock,NOFX,Spotify,,,,,,
205,09/07/2022,Liquorlip Loaded Gun,Sticky Fingers,Spotify,,,,,,
206,10/07/2022,Birdsong,Rosie Lowe,Spotify,,,,,,
207,11/07/2022,Patient Number 9,Ozzy Osbourne,Spotify,,,,,,
208,12/07/2022,"Little Q, Pt.2",Little Simz,Spotify,,,,,,
209,13/07/2022,Downhil (7-Inch),Nick Kurosawa,Spotify,,,,,,
210,14/07/2022,One Day She's Here,Marcus King,Spotify,,,,,,
211,15/07/2022,Games Without Frontiers,Peter Gabriel,Spotify,,,,,,
212,16/07/2022,You're The Voice,John Farnham,Spotify,,,,,,
213,17/07/2022,Luck Be A Lady,Seal,Spotify,,,,,,
214,18/07/2022,The Hop,Radio Citizen,Spotify,,,,,,
215,19/07/2022,Emily,Tourist,Spotify,,,,,,
216,20/07/2022,Careless Kind,Yours Truly,Spotify,,,,,,
217,21/07/2022,Uneasy Rider,The Charlie Daniels Band,Spotify,,,,,,
218,22/07/2022,Karma Climb - Edit,Editors,Spofity,,,,,,
219,23/07/2022,Memories,Artmann,Youtube,,,,,,
220,24/07/2022,Take Five,The Dave Brubeck Quartet,Spotify,,,,,,
221,25/07/2022,FMB Mixtape 187,Giulia Tess,SoundCloud,,,,,,
